epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0548,1.46047,5.02627,1.16801,0.17956,0.33388,0.12936,0.1027,0.78005,2.74655,0.86363,5.86199e-05,5.86199e-05,5.86199e-05
2,102.703,0.89457,2.52949,0.89934,0.45274,0.62771,0.57461,0.47011,0.79248,1.64127,0.88033,0.000115359,0.000115359,0.000115359
3,154.653,0.82273,1.74108,0.88166,0.68568,0.80232,0.82917,0.65902,0.82718,1.07335,0.9038,0.000169145,0.000169145,0.000169145
4,204.792,0.76235,1.28294,0.87381,0.85552,0.86498,0.94974,0.84092,0.52354,0.71151,0.83774,0.000165709,0.000165709,0.000165709
5,256.297,0.65081,1.00514,0.85747,0.90293,0.9178,0.97819,0.8661,0.53729,0.55227,0.83954,0.000161279,0.000161279,0.000161279
6,303.906,0.60495,0.83122,0.85295,0.88696,0.97072,0.98909,0.88566,0.48668,0.47929,0.82535,0.000156849,0.000156849,0.000156849
7,354.171,0.59534,0.73293,0.84908,0.94557,0.9701,0.99289,0.89894,0.45397,0.4238,0.81887,0.000152418,0.000152418,0.000152418
8,400.852,0.54768,0.67569,0.84512,0.94636,0.98032,0.99332,0.90789,0.44386,0.37717,0.81737,0.000147988,0.000147988,0.000147988
9,448.177,0.5423,0.5866,0.83928,0.96381,0.97769,0.99445,0.87644,0.54559,0.37594,0.82942,0.000143558,0.000143558,0.000143558
10,494.721,0.51922,0.56,0.83202,0.95262,0.98307,0.99456,0.91083,0.42995,0.33724,0.81684,0.000139128,0.000139128,0.000139128
11,541.163,0.51001,0.53242,0.83374,0.94533,0.99144,0.99427,0.92789,0.39128,0.30472,0.80973,0.000134697,0.000134697,0.000134697
12,593.942,0.48132,0.50868,0.82907,0.95878,0.9811,0.99398,0.91441,0.42146,0.31808,0.81353,0.000130267,0.000130267,0.000130267
13,639.796,0.4672,0.47204,0.82182,0.96907,0.99109,0.99478,0.93171,0.39087,0.28936,0.8082,0.000125837,0.000125837,0.000125837
14,692.758,0.47406,0.47883,0.82363,0.98194,0.9933,0.99468,0.91951,0.41652,0.28339,0.80926,0.000121407,0.000121407,0.000121407
15,739.597,0.45243,0.45166,0.82028,0.9761,0.99078,0.995,0.9368,0.38112,0.26507,0.80548,0.000116976,0.000116976,0.000116976
16,786.75,0.4431,0.42486,0.81715,0.98052,0.99238,0.995,0.94395,0.35876,0.25221,0.79966,0.000112546,0.000112546,0.000112546
17,833.928,0.44339,0.41984,0.81767,0.97992,0.99263,0.995,0.9387,0.36439,0.25296,0.79783,0.000108116,0.000108116,0.000108116
18,880.811,0.45187,0.40742,0.81612,0.96315,0.99304,0.995,0.93818,0.36194,0.25242,0.79739,0.000103686,0.000103686,0.000103686
19,927.253,0.41648,0.38454,0.81247,0.98493,0.99989,0.995,0.94974,0.3271,0.22515,0.79348,9.92555e-05,9.92555e-05,9.92555e-05
20,978.623,0.41755,0.38883,0.8102,0.97982,0.99455,0.995,0.94885,0.3339,0.23249,0.79606,9.48253e-05,9.48253e-05,9.48253e-05
21,1025.18,0.4138,0.38507,0.81409,0.9793,0.99062,0.995,0.93832,0.34616,0.24002,0.79597,9.0395e-05,9.0395e-05,9.0395e-05
22,1072.63,0.39765,0.36861,0.81076,0.97648,0.99294,0.995,0.95373,0.3074,0.22575,0.79011,8.59647e-05,8.59647e-05,8.59647e-05
23,1119.71,0.39389,0.3653,0.80966,0.97836,0.99247,0.995,0.94983,0.32956,0.21935,0.79199,8.15345e-05,8.15345e-05,8.15345e-05
24,1166.62,0.40123,0.36205,0.80776,0.98615,0.99931,0.995,0.92307,0.39967,0.23443,0.80122,7.71043e-05,7.71043e-05,7.71043e-05
25,1212.96,0.38334,0.34114,0.80736,0.98739,0.99541,0.995,0.94839,0.32518,0.20588,0.79144,7.2674e-05,7.2674e-05,7.2674e-05
26,1259.17,0.3802,0.34521,0.80659,0.98443,0.99584,0.995,0.96048,0.28969,0.20238,0.78594,6.82437e-05,6.82437e-05,6.82437e-05
27,1310.51,0.36574,0.33115,0.80275,0.98493,0.99712,0.995,0.95747,0.30676,0.20263,0.787,6.38135e-05,6.38135e-05,6.38135e-05
28,1356.82,0.36282,0.32345,0.80024,0.9849,0.99738,0.995,0.95189,0.32039,0.20309,0.78971,5.93832e-05,5.93832e-05,5.93832e-05
29,1403.29,0.36802,0.32555,0.80162,0.98863,1,0.995,0.95767,0.29816,0.1976,0.78618,5.4953e-05,5.4953e-05,5.4953e-05
30,1449.56,0.34774,0.3091,0.80026,0.98585,0.99513,0.995,0.95989,0.30238,0.1917,0.78745,5.05227e-05,5.05227e-05,5.05227e-05
31,1498.66,0.31451,0.24057,0.79116,0.98825,0.99583,0.995,0.95657,0.30272,0.18532,0.78797,4.60925e-05,4.60925e-05,4.60925e-05
32,1544.66,0.31068,0.23823,0.78627,0.98978,0.99406,0.995,0.95522,0.29698,0.19078,0.78701,4.16622e-05,4.16622e-05,4.16622e-05
33,1590.59,0.30085,0.23201,0.78634,0.98778,0.99392,0.995,0.96519,0.28502,0.18751,0.78452,3.7232e-05,3.7232e-05,3.7232e-05
34,1642.57,0.28652,0.22117,0.77864,0.99008,0.99414,0.995,0.96092,0.29032,0.18343,0.7849,3.28018e-05,3.28018e-05,3.28018e-05
